,gen,nevals,max,avg,min,std
205,25,100,[80.14249506  2.        ],[60.23284446  1.1       ],[42.35435298  1.        ],[7.94960806 0.3       ]
206,26,100,[82.30211462  2.        ],[61.18706521  1.09      ],[47.77912295  1.        ],[7.73339341 0.28618176]
207,27,100,[80.09685427  2.        ],[56.25050812  1.11      ],[33.3087232  1.       ],[10.15307209  0.31288976]
208,28,100,[81.00401933  2.        ],[55.34637868  1.09      ],[33.29111973  1.        ],[9.35078312 0.28618176]
209,29,100,[82.90992367  2.        ],[58.9230753  1.16     ],[39.23221398  1.        ],[9.90256295 0.36660606]
210,0,100,[46.70789483  1.        ],[23.4449921  0.61     ],[-5.19412718  0.        ],[14.5780706   0.48774994]
211,1,100,[53.56820602  1.        ],[30.94683191  0.76      ],[-4.96224976  0.        ],[12.91994205  0.42708313]
212,2,100,[53.33144894  1.        ],[21.67278023  0.56      ],[-5.59087567  0.        ],[17.647057    0.49638695]
213,3,100,[50.23235664  1.        ],[20.61134694  0.54      ],[-5.18224976  0.        ],[17.27910842  0.49839743]
214,4,100,[46.4512854  1.       ],[21.38617321  0.55      ],[-5.14224976  0.        ],[16.76827556  0.49749372]
215,5,100,[55.89257231  1.        ],[26.51200637  0.7       ],[-5.3055459  0.       ],[16.58243287  0.45825757]
216,6,100,[59.79915749  1.        ],[32.58601254  0.75      ],[-5.34319761  0.        ],[15.21512955  0.4330127 ]
217,7,100,[55.93164165  1.        ],[23.43520369  0.29      ],[-5.56624894  0.        ],[16.36464469  0.45376205]
218,8,100,[54.69019485  1.        ],[26.66263773  0.34      ],[-5.55082632  0.        ],[13.74866117  0.47370877]
219,9,100,[55.82930005  1.        ],[27.44008956  0.33      ],[-5.60856232  0.        ],[14.48912122  0.47021272]
220,10,100,[67.40363863  2.        ],[29.1630293  0.42     ],[-5.47886753  0.        ],[14.95026284  0.51341991]
221,11,100,[51.70901558  1.        ],[31.26729216  0.44      ],[-4.81833136  0.        ],[12.37469725  0.49638695]
222,12,100,[53.9211456  1.       ],[35.32417999  0.46      ],[-5.23427775  0.        ],[11.1266094   0.49839743]
223,13,100,[56.61655786  1.        ],[34.8860673  0.51     ],[-4.67310249  0.        ],[11.7155036   0.49989999]
224,14,100,[62.31964453  1.        ],[38.07468  0.56   ],[1.23210881 0.        ],[10.5819421   0.49638695]
225,15,100,[62.60736676  1.        ],[36.27254614  0.47      ],[10.41485805  0.        ],[10.09926633  0.49909919]
226,16,100,[63.78617477  1.        ],[40.75345239  0.58      ],[12.04587282  0.        ],[10.03944683  0.49355851]
227,17,100,[65.19964866  1.        ],[41.21851873  0.6       ],[15.54995404  0.        ],[9.32449279 0.48989795]
228,18,100,[59.04343554  1.        ],[40.56510902  0.61      ],[5.98674762 0.        ],[9.03968143 0.48774994]
229,19,100,[61.73193124  1.        ],[42.40802817  0.66      ],[24.45991607  0.        ],[8.4980774  0.47370877]
230,20,100,[59.33312872  1.        ],[41.43337671  0.59      ],[12.45810917  0.        ],[8.52068013 0.49183331]
231,21,100,[63.98283212  2.        ],[42.78023067  0.58      ],[18.44510283  0.        ],[8.4414291  0.51341991]
