,gen,nevals,max,avg,min,std
210,0,100,[76.30241196  1.        ],[63.06313954  0.7       ],[30.22431167  0.        ],[19.04558062  0.45825757]
211,1,100,[76.38056645  1.        ],[66.96624577  0.81      ],[12.44938199  0.        ],[15.64963163  0.3923009 ]
212,2,100,[80.58782115  1.        ],[61.72545382  0.66      ],[34.60046682  0.        ],[17.44634873  0.47370877]
213,3,100,[86.14984201  2.        ],[65.76168005  0.76      ],[30.38339422  0.        ],[17.38970041  0.51224994]
214,4,100,[87.0245964  2.       ],[59.97257039  0.67      ],[30.38339422  0.        ],[18.83832582  0.60091597]
215,5,100,[86.40527132  2.        ],[50.29625855  0.54      ],[3.45178007 0.        ],[26.86188982  0.63906181]
216,6,100,[86.73527132  2.        ],[50.14410382  0.61      ],[-5.5575952  0.       ],[28.30751788  0.69130312]
217,7,100,[86.37527132  2.        ],[53.82872498  0.67      ],[-5.5575952  0.       ],[26.71372732  0.63332456]
218,8,100,[86.41984201  2.        ],[50.64638811  0.63      ],[-5.54821993  0.        ],[27.18396076  0.68782265]
219,9,100,[86.72142179  2.        ],[53.44350138  0.76      ],[3.45178007 0.        ],[28.29554195  0.70880181]
220,10,100,[86.66142179  2.        ],[51.56545842  0.68      ],[3.45020527 0.        ],[25.7736687  0.6910861]
221,11,100,[86.8745964  2.       ],[54.08876405  0.68      ],[3.45335985 0.        ],[26.91822602  0.71944423]
222,12,100,[86.8745964  2.       ],[53.76155105  0.78      ],[3.45178007 0.        ],[27.05542751  0.74269779]
223,13,100,[86.75142179  2.        ],[54.93660391  0.73      ],[3.45178007 0.        ],[25.98331271  0.71909666]
224,14,100,[86.8145964  2.       ],[56.45346233  0.81      ],[3.45178007 0.        ],[26.27567542  0.79617837]
225,15,100,[86.7845964  2.       ],[65.38839593  1.01      ],[7.68906522 0.        ],[22.38593767  0.74155243]
226,16,100,[86.93996584  2.        ],[64.79020714  1.05      ],[7.68590066 0.        ],[23.91368189  0.80467385]
227,17,100,[86.6945964  2.       ],[58.97414416  0.85      ],[7.68590066 0.        ],[21.11078009  0.73993243]
228,18,100,[87.2045964  2.       ],[63.68090292  1.07      ],[3.45178007 0.        ],[24.62601021  0.82770768]
229,19,100,[86.8445964  2.       ],[65.23843585  1.06      ],[7.68748044 0.        ],[21.75968006  0.74592225]
230,20,100,[86.82844593  2.        ],[62.45481532  1.03      ],[7.95494464 0.        ],[22.51700546  0.78044859]
231,21,100,[87.0845964  2.       ],[69.63706251  1.23      ],[12.18906522  0.        ],[20.45415064  0.73287107]
232,22,100,[87.2045964  2.       ],[65.64530371  1.12      ],[30.45494464  0.        ],[20.12563679  0.76524506]
233,23,100,[87.06844593  2.        ],[72.05881787  1.24      ],[11.90653215  0.        ],[19.08445339  0.72277244]
234,24,100,[87.2045964  2.       ],[67.67211925  1.21      ],[12.18906522  0.        ],[21.29705628  0.77839579]
